362 141 500 315
0 186 225 345
0 0 500 149
195 195 423 314
140 0 500 158
0 0 212 115
128 148 325 275
0 193 225 352
138 267 500 375
203 227 456 330
359 123 500 316
222 11 455 117
200 237 500 375
346 0 500 151
0 82 172 250
0 77 356 157
182 137 461 248
0 39 356 160
0 43 293 143
138 295 500 375
0 130 221 375
55 77 368 169
0 75 356 157
215 238 500 375
140 0 467 136
199 212 423 313
117 0 500 144
0 130 219 375
0 190 229 375
203 207 429 311
0 0 500 160
0 0 356 158
205 247 456 330
0 0 356 159
199 212 423 314
142 0 500 148
49 0 500 149
49 0 500 148
49 0 477 143
134 28 348 155
0 190 229 351
216 242 500 375
78 133 273 277
0 77 356 160
310 135 473 284
274 0 500 144
0 0 298 77
0 193 225 350
20 84 233 246
0 0 500 158
359 123 500 318
86 81 351 180
140 0 467 107
295 136 449 287
142 0 500 159
0 0 500 159
73 75 356 158
66 77 356 159
295 136 473 276
0 186 225 375
312 135 473 283
312 95 500 276
208 249 500 375
72 66 355 156
195 212 423 314
0 0 500 155
0 125 216 375
343 95 500 313
90 31 356 156
32 124 205 293
291 110 445 248
175 224 458 311
314 89 500 254
0 24 341 155
215 242 500 375
0 66 380 157
0 75 356 160
138 254 500 375
258 136 473 290
62 32 357 132
0 96 160 375
320 136 472 278
290 118 500 291
28 79 352 159
0 130 192 375
43 0 482 121
90 77 356 156
66 77 356 158
312 128 473 283
295 136 449 276
0 0 226 103
0 0 340 124
240 229 455 329
293 134 474 276
404 0 500 296
81 0 500 148
0 0 477 145
0 45 276 157
250 0 500 149
72 86 368 174
329 0 500 296
66 28 337 118
0 130 160 375
140 0 467 117
0 28 356 160
222 14 455 117
136 288 500 375
222 136 445 248
175 224 454 310
305 0 500 145
0 24 206 193
119 0 500 145
0 0 500 148
0 24 206 139
196 206 423 359
0 83 194 256
203 134 378 291
331 0 500 150
82 168 326 277
214 112 399 247
359 94 500 316
101 214 359 359
221 14 450 116
246 0 500 151
0 190 229 350
0 0 368 156
287 0 482 116
0 65 291 147
174 242 500 375
310 94 500 262
55 37 267 145
287 0 500 151
0 0 276 157
363 0 500 241
90 77 356 158
401 0 500 291
136 262 500 375
335 134 500 291
246 0 482 119
28 77 356 160
310 58 452 284
0 0 212 111
226 0 500 143
233 221 500 329
90 30 341 155
0 0 340 123
44 38 292 147
321 141 484 287
0 0 500 162
0 0 500 161
95 224 333 325
222 135 449 263
205 242 500 375
222 14 450 117
0 75 356 158
62 28 340 107
146 87 380 188
175 242 500 375
0 46 341 175
175 212 458 311
208 254 500 375
0 0 212 143
354 92 500 250
175 221 458 311
209 215 500 375
310 93 500 291
0 0 197 157
90 37 356 155
44 38 266 139
290 118 414 291
0 46 203 175
262 136 445 254
200 242 500 375
0 0 500 151
175 214 500 375
331 139 474 286
52 135 241 277
91 28 348 155
310 135 452 284
0 0 212 103
49 0 360 122
73 37 380 173
0 37 356 157
